INSTNM,CITY,STABBR,CONTROL,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,PCTFLOAN,PCTPELL,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ADM_RATE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS
Alabama A & M University,Normal,AL,1,4206,9096,16596,0.8284,0.7356,35000,30300,0.5256,0.0424,0.0191,0.0169,0,0,0.0487,0.0275,0,0.1123,0.1081,0.0339,0,0.0254,0,0.0127,0.0424,0,0.0975,0.0169,0,0,0,0,0,0.0127,0,0.0487,0.0085,0.0572,0.0424,0,0,0,0,0.0297,0,0.197,0,4206
University of Alabama at Birmingham,Birmingham,AL,1,11383,7510,17062,0.5214,0.346,46300,39700,0.8569,0,0,0,0.0024,0.0485,0,0.015,0,0.0882,0.0577,0,0.0111,0,0,0.0223,0.0179,0,0.0746,0.0102,0,0,0,0.0053,0,0.0204,0,0.078,0.032,0.0228,0.0524,0,0,0,0,0.0305,0.2084,0.1837,0.0184,11383
Amridge University,Montgomery,AL,2,291,6900,6900,0.7795,0.6801,44800,40100,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0.2353,0,0,0.0588,0,0,0,0,0,0,0,0.25,0,0,0,0.0294,0,0,0,0,0,0,0,0,0.4265,0,291
University of Alabama in Huntsville,Huntsville,AL,1,5451,9158,21232,0.4596,0.3072,50400,45500,0.8203,0,0,0,0,0.0289,0,0.0271,0,0.0187,0.2624,0,0.0168,0,0,0.0168,0,0,0.085,0.014,0,0,0,0.0075,0,0.0261,0,0.0271,0,0,0.0177,0,0,0,0,0.0317,0.211,0.197,0.0121,5451
Alabama State University,Montgomery,AL,1,4811,8720,15656,0.7554,0.7347,29400,26600,0.5326,0,0,0,0,0.087,0,0.0813,0,0.1267,0,0,0,0,0,0.017,0,0,0.0851,0.017,0,0,0.0284,0,0,0.0359,0,0.0643,0.1096,0.0624,0.0151,0,0,0,0,0.0567,0.0888,0.1115,0.0132,4811
The University of Alabama,Tuscaloosa,AL,1,29851,9826,24950,0.401,0.204,48600,41900,0.5105,0,0.0033,0,0.0024,0.1152,0,0.007,0,0.0762,0.0771,0,0.0044,0.0703,0,0.0178,0,0,0.0318,0.0065,0,0.0313,0,0.003,0,0.0111,0,0.0359,0.0259,0.0111,0.0405,0,0,0,0,0.0318,0.0912,0.2874,0.019,29851
Central Alabama Community College,Alexander City,AL,1,1592,3491,6576,0.3977,0.5892,31400,27500,NULL,0,0,0,0,0,0,0.0144,0.0072,0,0,0.0289,0,0,0,0,0.5704,0,0,0,0,0.0433,0,0,0,0,0,0,0,0,0,0,0.0469,0.0542,0,0,0.1372,0.0975,0,1592
Athens State University,Athens,AL,1,2991,NULL,NULL,0.6296,0.4088,41600,39000,NULL,0,0,0,0,0,0,0.0288,0,0.2365,0,0,0,0,0,0.0336,0.0408,0,0.0204,0.0192,0,0.0384,0.0132,0.0168,0,0.0024,0,0.024,0.0348,0,0.0216,0,0,0,0,0.0108,0.0108,0.4394,0.0084,2991
Auburn University at Montgomery,Montgomery,AL,1,4304,9080,19640,0.5803,0.4192,37700,35000,0.8017,0,0,0,0,0.043,0,0,0,0.1174,0,0,0.005,0,0,0.0182,0.0231,0,0.0893,0.0066,0,0,0,0,0,0.0231,0,0.0579,0.0479,0,0.0298,0,0,0,0,0.0314,0.1851,0.3157,0.0066,4304
Auburn University,Auburn,AL,1,20514,10200,27384,0.3494,0.161,52900,45700,0.8347,0.0448,0.0178,0.0221,0,0.0573,0,0.006,0,0.0921,0.1637,0,0.0089,0.0366,0,0.0127,0,0,0.0934,0.0089,0,0.0219,0,0.0013,0,0.0123,0,0.0404,0,0.0178,0.0495,0,0,0,0,0.0361,0.0491,0.1949,0.0125,20514
